eic_code,plant_name,psr_type
29WYISSFIKIAS--8,SFIKIA,Hydro Pumped Storage
29WTHESAVROS3--V,THESAVROS III_HYDRO,Hydro Pumped Storage
29WTHESAVROS2--Z,THESAVROS II_HYDRO,Hydro Pumped Storage
29WTHESAVROS1--2,THESAVROS I_HYDRO,Hydro Pumped Storage
29WYISAGRA-----I,AGRAS,Hydro Run-of-river and poundage
29WYISEDESSAIOUM,EDESSAIOS,Hydro Run-of-river and poundage
29WYISPIGONAOOUX,AOOS,Hydro Water Reservoir
29WYISASOMATON-H,ASOMATA,Hydro Water Reservoir
29WILARIONAS---X,ILARIONAS,Hydro Water Reservoir
29WYISKASTRAKI-M,KASTRAKI,Hydro Water Reservoir
29WYISKREMASTONE,KREMASTA,Hydro Water Reservoir
29WYISLADONAS--V,LADONAS,Hydro Water Reservoir
29WYISNPLASTIRAF,PLASTIRAS,Hydro Water Reservoir
29WYISPLATANOVRH,PLATANOVRYSI,Hydro Water Reservoir
29WYISPOLYFYTO-O,POLYFYTO,Hydro Water Reservoir
29WYISPOURNARI-P,POURNARI I,Hydro Water Reservoir
29WYISPOURNARIIO,POURNARI2,Hydro Water Reservoir
29WYISSTRATOU-IV,STRATOS1,Hydro Water Reservoir
